지점,지점명,일시,평균운량(1/10)
130,울진,2020-08-01,7.2
130,울진,2020-09-01,5.9
130,울진,2020-10-01,4.7
130,울진,2020-11-01,3.9
130,울진,2020-12-01,2.8
114,원주,2020-01-01,5.3
114,원주,2020-02-01,4.3
114,원주,2020-03-01,4.0
114,원주,2020-04-01,3.4
114,원주,2020-05-01,6.1
114,원주,2020-06-01,6.0
114,원주,2020-07-01,7.7
114,원주,2020-08-01,7.4
114,원주,2020-09-01,6.3
114,원주,2020-10-01,4.0
114,원주,2020-11-01,4.1
114,원주,2020-12-01,3.6
263,의령군,2020-01-01,5.4
263,의령군,2020-02-01,3.9
263,의령군,2020-03-01,4.0
263,의령군,2020-04-01,3.3
263,의령군,2020-05-01,5.8
263,의령군,2020-06-01,5.8
263,의령군,2020-07-01,7.8
263,의령군,2020-08-01,6.2
263,의령군,2020-09-01,6.3
263,의령군,2020-10-01,4.6
263,의령군,2020-11-01,4.0
263,의령군,2020-12-01,3.6
278,의성,2020-01-01,5.4
278,의성,2020-02-01,4.1
278,의성,2020-03-01,3.7
278,의성,2020-04-01,3.6
278,의성,2020-05-01,5.6
278,의성,2020-06-01,5.8
278,의성,2020-07-01,7.4
278,의성,2020-08-01,6.9
278,의성,2020-09-01,6.1
278,의성,2020-10-01,4.9
278,의성,2020-11-01,3.8
278,의성,2020-12-01,3.1
203,이천,2020-01-01,5.0
203,이천,2020-02-01,4.1
203,이천,2020-03-01,3.6
203,이천,2020-04-01,3.2
203,이천,2020-05-01,5.9
203,이천,2020-06-01,5.7
203,이천,2020-07-01,7.1
203,이천,2020-08-01,7.5
203,이천,2020-09-01,5.9
203,이천,2020-10-01,4.3
203,이천,2020-11-01,4.1
203,이천,2020-12-01,3.4
211,인제,2020-01-01,4.8
211,인제,2020-02-01,4.8
211,인제,2020-03-01,4.2
211,인제,2020-04-01,4.2
211,인제,2020-05-01,6.3
211,인제,2020-06-01,5.7
211,인제,2020-07-01,7.2
211,인제,2020-08-01,7.9
211,인제,2020-09-01,6.8
211,인제,2020-10-01,4.6
211,인제,2020-11-01,4.1
211,인제,2020-12-01,3.4
112,인천,2020-01-01,5.0
112,인천,2020-02-01,4.6
112,인천,2020-03-01,3.8
112,인천,2020-04-01,2.9
112,인천,2020-05-01,6.6
112,인천,2020-06-01,6.1
112,인천,2020-07-01,7.5
112,인천,2020-08-01,8.1
112,인천,2020-09-01,5.7
112,인천,2020-10-01,4.1
112,인천,2020-11-01,4.2
112,인천,2020-12-01,3.5
244,임실,2020-01-01,6.3
244,임실,2020-02-01,5.0
244,임실,2020-03-01,4.5
244,임실,2020-04-01,3.6
244,임실,2020-05-01,6.4
244,임실,2020-06-01,6.3
244,임실,2020-07-01,8.0
244,임실,2020-08-01,6.4
244,임실,2020-09-01,6.5
244,임실,2020-10-01,4.8
244,임실,2020-11-01,4.7
244,임실,2020-12-01,4.9
248,장수,2020-01-01,6.1
248,장수,2020-02-01,4.9
248,장수,2020-03-01,4.4
248,장수,2020-04-01,3.5
248,장수,2020-05-01,6.4
248,장수,2020-06-01,6.5
248,장수,2020-07-01,7.9
248,장수,2020-08-01,6.7
248,장수,2020-09-01,6.8
248,장수,2020-10-01,4.9
248,장수,2020-11-01,4.8
248,장수,2020-12-01,5.1
260,장흥,2020-01-01,5.8
260,장흥,2020-02-01,4.9
260,장흥,2020-03-01,4.5
260,장흥,2020-04-01,3.7
260,장흥,2020-05-01,6.4
260,장흥,2020-06-01,6.2
260,장흥,2020-07-01,8.0
260,장흥,2020-08-01,5.8
260,장흥,2020-09-01,6.5
260,장흥,2020-10-01,5.0
260,장흥,2020-11-01,4.8
260,장흥,2020-12-01,4.3
146,전주,2020-01-01,6.4
146,전주,2020-02-01,5.0
146,전주,2020-03-01,4.0
146,전주,2020-04-01,3.2
146,전주,2020-05-01,6.0
146,전주,2020-06-01,6.8
146,전주,2020-07-01,8.6
146,전주,2020-08-01,6.5
