지점,지점명,일시,평균지면온도(°C)
170,완도,2021-05-01,19.9
170,완도,2021-06-01,26.3
170,완도,2021-07-01,29.5
170,완도,2021-08-01,29.1
170,완도,2021-09-01,24.5
170,완도,2021-10-01,19.5
170,완도,2021-11-01,10.7
170,완도,2021-12-01,4.1
115,울릉도,2021-01-01,1.7
115,울릉도,2021-02-01,4.7
115,울릉도,2021-03-01,9.5
115,울릉도,2021-04-01,14.8
115,울릉도,2021-05-01,18.4
115,울릉도,2021-06-01,22.5
115,울릉도,2021-07-01,28.4
115,울릉도,2021-08-01,25.8
115,울릉도,2021-09-01,21.3
115,울릉도,2021-10-01,14.6
115,울릉도,2021-11-01,8.5
115,울릉도,2021-12-01,3.0
152,울산,2021-01-01,1.0
152,울산,2021-02-01,4.9
152,울산,2021-03-01,10.1
152,울산,2021-04-01,14.6
152,울산,2021-05-01,18.8
152,울산,2021-06-01,23.9
152,울산,2021-07-01,29.2
152,울산,2021-08-01,26.5
152,울산,2021-09-01,22.4
152,울산,2021-10-01,17.4
152,울산,2021-11-01,9.4
152,울산,2021-12-01,2.8
130,울진,2021-01-01,0.2
130,울진,2021-02-01,6.2
130,울진,2021-03-01,10.3
130,울진,2021-04-01,16.1
130,울진,2021-05-01,20.2
130,울진,2021-06-01,25.3
130,울진,2021-07-01,31.2
130,울진,2021-08-01,27.7
130,울진,2021-09-01,23.2
130,울진,2021-10-01,15.8
130,울진,2021-11-01,8.3
130,울진,2021-12-01,2.0
114,원주,2021-01-01,-2.3
114,원주,2021-02-01,1.9
114,원주,2021-03-01,8.9
114,원주,2021-04-01,15.2
114,원주,2021-05-01,18.9
114,원주,2021-06-01,25.7
114,원주,2021-07-01,30.6
114,원주,2021-08-01,28.0
114,원주,2021-09-01,24.2
114,원주,2021-10-01,16.2
114,원주,2021-11-01,6.8
114,원주,2021-12-01,-0.1
263,의령군,2021-01-01,0.8
263,의령군,2021-02-01,5.2
263,의령군,2021-03-01,11.3
263,의령군,2021-04-01,16.9
263,의령군,2021-05-01,21.3
263,의령군,2021-06-01,26.4
263,의령군,2021-07-01,30.1
263,의령군,2021-08-01,29.5
263,의령군,2021-09-01,24.0
263,의령군,2021-10-01,18.3
263,의령군,2021-11-01,9.1
263,의령군,2021-12-01,3.0
278,의성,2021-01-01,-1.8
278,의성,2021-02-01,2.2
278,의성,2021-03-01,9.7
278,의성,2021-04-01,16.3
278,의성,2021-05-01,19.5
278,의성,2021-06-01,25.9
278,의성,2021-07-01,31.2
278,의성,2021-08-01,28.4
278,의성,2021-09-01,23.8
278,의성,2021-10-01,18.1
278,의성,2021-11-01,8.0
278,의성,2021-12-01,1.2
203,이천,2021-01-01,-1.5
203,이천,2021-02-01,2.1
203,이천,2021-03-01,9.5
203,이천,2021-04-01,15.4
203,이천,2021-05-01,19.0
203,이천,2021-06-01,25.6
203,이천,2021-07-01,30.3
203,이천,2021-08-01,27.6
203,이천,2021-09-01,22.9
203,이천,2021-10-01,16.2
203,이천,2021-11-01,7.2
203,이천,2021-12-01,0.6
211,인제,2021-01-01,-2.1
211,인제,2021-02-01,2.1
211,인제,2021-03-01,8.3
211,인제,2021-04-01,15.5
211,인제,2021-05-01,18.6
211,인제,2021-06-01,25.3
211,인제,2021-07-01,32.1
211,인제,2021-08-01,26.4
211,인제,2021-09-01,23.6
211,인제,2021-10-01,15.0
211,인제,2021-11-01,6.6
211,인제,2021-12-01,0.2
112,인천,2021-01-01,-1.7
112,인천,2021-02-01,2.3
112,인천,2021-03-01,8.6
112,인천,2021-04-01,14.5
112,인천,2021-05-01,17.9
112,인천,2021-06-01,24.6
112,인천,2021-07-01,31.1
112,인천,2021-08-01,28.3
112,인천,2021-09-01,23.1
112,인천,2021-10-01,16.3
112,인천,2021-11-01,7.9
112,인천,2021-12-01,0.6
244,임실,2021-01-01,1.0
244,임실,2021-02-01,3.6
244,임실,2021-03-01,9.6
244,임실,2021-04-01,14.5
244,임실,2021-05-01,18.5
244,임실,2021-06-01,24.3
244,임실,2021-07-01,27.9
244,임실,2021-08-01,27.3
244,임실,2021-09-01,23.6
244,임실,2021-10-01,16.8
244,임실,2021-11-01,8.4
244,임실,2021-12-01,2.8
248,장수,2021-01-01,1.0
248,장수,2021-02-01,3.2
248,장수,2021-03-01,9.0
248,장수,2021-04-01,13.8
248,장수,2021-05-01,17.4
248,장수,2021-06-01,22.9
248,장수,2021-07-01,27.5
248,장수,2021-08-01,26.2
248,장수,2021-09-01,23.2
248,장수,2021-10-01,15.3
248,장수,2021-11-01,6.5
248,장수,2021-12-01,1.3
260,장흥,2021-01-01,0.8
260,장흥,2021-02-01,3.9
260,장흥,2021-03-01,9.9
260,장흥,2021-04-01,14.7
260,장흥,2021-05-01,19.2
260,장흥,2021-06-01,24.0
260,장흥,2021-07-01,28.2
260,장흥,2021-08-01,27.3
260,장흥,2021-09-01,23.8
260,장흥,2021-10-01,18.2
260,장흥,2021-11-01,9.8
260,장흥,2021-12-01,4.0
146,전주,2021-01-01,1.8
146,전주,2021-02-01,4.4
146,전주,2021-03-01,10.3
146,전주,2021-04-01,15.5
146,전주,2021-05-01,19.6
